Question,Translation,Score
Are you famous,are you famous,0.9655172414
Are you famous,iu famous,0.5833333333
Are you famous,i famous,0.6086956522
Are you famous,how are you famous,0.8484848485
Are you famous,how you famous,0.7586206897
Are you famous,i you famous,0.8148148148
Can you dance for me,can you dance for me,0.9756097561
Can you dance for me,i can you dance for me,0.9302325581
Do you like my friend,do you like my friend,0.976744186
Do you like my friend,they like my friend,0.7804878049
Do you like my friend,did you like my friend,0.9090909091
Do you like my friend,do you like my boyfriend,0.9130434783
Do you like my friend,do like my friend,0.8717948718
Do you like dogs,do you like dogs,0.9696969697
Do you like dogs,they like dogs,0.7096774194
Do you like dogs,do you like the dogs,0.8648648649
Where is the bathroom,where is the bathroom,0.976744186
Where is the bathroom,where is the box ram,0.7619047619
Where is the bathroom,where is about travel,0.6046511628
Where is the bathroom,where is about ramen,0.619047619
Where is the bathroom,where is about suriname,0.5777777778
Where is the bathroom,where is the box ramen,0.7272727273
Where is the bathroom,where's the bathroom,0.9047619048
Where is the bathroom,where is the boxer ramen,0.6956521739
Where is the bathroom,where is about tram,0.6829268293
Where is the bathroom,clarissa beltran,0.3684210526
Where is the pharmacy,where is the pharmacy,0.976744186
Where is the pharmacy,where is the farmacy,0.8571428571
Where is the pharmacy,whereis the pharmacy,0.9523809524
Where is the pharmacy,where is a pharmacy,0.8780487805
Where is the pharmacy,where is the pharmacie,0.8636363636
Can you fight,can you fight,0.962962963
Can you fight,can you find,0.7692307692
Can you fight,can u fight,0.72
Can you fight,canyou fight,0.9230769231
Can you fight,i can you fight,0.8965517241
Why do you talk slow,why do you talk slower,0.9302325581
Why do you talk slow,why do you talk slow,0.9756097561
Why do you talk slow,why do you talk so loud,0.8636363636
Why do you talk slow,why do you talk slaughter,0.7391304348
Why do you talk slow,why did you talk slow,0.9047619048
Why do you talk slow,why do you talk so slow,0.9090909091
Why do you talk slow,why do you talk louder,0.8372093023
Why do you talk slow,why did you talk slower,0.8636363636
Why do you talk slow,why do you talk slowly,0.9302325581
Why do you talk slow,why do you talk slur,0.8780487805
Do you know about current events,do you know about current events,0.9846153846
Do you know about current events,do you know about the current events,0.9275362319
What do you drink,what do you drink,0.9714285714
What do you drink,what did you drink,0.8888888889
What do you drink,why do you drink,0.8823529412
What do you drink,what is a drink,0.7272727273
What do you drink,what are you drink,0.8333333333
What do you drink,what is the drink,0.6857142857
What do you drink,what did he drink,0.7428571429
What do you drink,what if you drink,0.8571428571
What do you drink,what do u drink,0.8484848485
What do you drink,what a drink,0.7333333333
Are you rich,are you rich,0.96
Are you rich,what are you rich,0.8
Are you rich,why are you rich,0.8275862069
Are you rich,how are you rich,0.8275862069
Are you rich,who are you rich,0.8275862069
Are you rich,we are you rich,0.8571428571
Where is the closest station,where is the closest station,0.9824561404
Where is the closest station,where is the closest gas station,0.9180327869
Where is the closest station,where is the closest t station,0.9152542373
Where is the closest station,where is the closest to station,0.9333333333
Where is the closest station,where is the closest 2 station,0.9491525424
Where is the closest station,where is the closest stationed,0.9491525424
Where is the closest station,larry the closest station,0.7777777778
Where is the closest station,larry's the closest station,0.7857142857
Can you speak other languages,can you speak other languages,0.9830508475
Can you speak other languages,i can you speak other languages,0.9508196721
Do you know first aid,do you know first aid,0.976744186
Do you know first aid,do you know if i stayed,0.7555555556
Do you know first aid,do you not first aid,0.9047619048
Do you know first aid,do you know if a side,0.7906976744
Do you know first aid,do you nut first aid,0.8571428571
Do you know first aid,do you know christ died,0.8
Do you know first aid,do you know if a state,0.7272727273
Do you know first aid,do you know first date,0.8636363636
Do you know first aid,do you know if i'd stayed,0.7234042553
Do you know first aid,do you not fast 8,0.7179487179
Where in australia do you want to travel,where in australia do you want to trouble,0.8780487805
Where in australia do you want to travel,where in australia do you want to travel,0.962962963
Where in australia do you want to travel,where in australia do you want the trouble,0.843373494
Where in australia do you want to travel,we're in australia do you want to trouble,0.8536585366
Where in australia do you want to travel,where in australia do you want two trouble,0.8674698795
Where in australia do you want to travel,we're in australia do you want to travel,0.9382716049
Where in australia do you want to travel,where in australia do u want to trouble,0.775
Where in australia do you want to travel,weather in australia do you want to trouble,0.8333333333
Where in australia do you want to travel,weather in australia do you want to travel,0.9156626506
Where in australia do you want to travel,where in australia do u want to travel,0.8607594937
