Question,Translation,Score
Are you famous,you are famous,0.7142857143
Are you famous,timi is famous,0.5714285714
Are you famous,you are famous,0.7142857143
Are you famous,timmy is famous,0.5517241379
Are you famous,timy is famous,0.5714285714
Are you famous,you are famous,0.7142857143
Are you famous,teami is famous,0.6206896552
Are you famous,timhi is famous,0.5517241379
Are you famous,timie is famous,0.6206896552
Can you dance for me,can you dance for me,0.95
Can you dance for me,you can dance for me,0.8
Can you dance for me,you can dance for me,0.8
Can you dance for me,you could naseba for me,0.6046511628
Can you dance for me,you can dance for me,0.8
Can you dance for me,you can dance for me,0.8
Can you dance for me,you can naseba for me,0.6341463415
Can you dance for me,can dance for timimero,0.7142857143
Can you dance for me,you can dance for me,0.8
Can you dance for me,you could nasba for me,0.5714285714
Do you like my friend,you like my friend,0.8717948718
Do you like my friend,you like my sati,0.6486486486
Do you like my friend,you like my sati,0.6486486486
Do you like my friend,you like me,0.625
Do you like my friend,you like my friend,0.8717948718
Do you like my friend,you liked my friend,0.85
Do you like my friend,you like me,0.625
Do you like my friend,you liked my friend,0.85
Do you like my friend,you like my friend,0.8717948718
Do you like my friend,like timila merosathi,0.380952381
Do you like dogs,timila likes dogs,0.6060606061
Do you like dogs,you like a dog,0.7333333333
Do you like dogs,you like dogs,0.8275862069
Do you like dogs,you like dogs,0.8275862069
Do you like dogs,timila likes dogs,0.6060606061
Do you like dogs,temila likes dogs,0.6060606061
Do you like dogs,you like dogs,0.8275862069
Do you like dogs,likes timila kukur,0.2941176471
Do you like dogs,you like a dog,0.7333333333
Do you like dogs,your favorite dog,0.5454545455
Where is the bathroom,child labor is a story,0.4186046512
Where is the bathroom,where is the child labor?,0.6086956522
Where is the bathroom,where is the bathrum,0.8780487805
Where is the bathroom,child labor story 6,0.3
Where is the bathroom,the bathrum is the story,0.5777777778
Where is the bathroom,the barsam is somewhere,0.4545454545
Where is the bathroom,child labor is a story,0.4186046512
Where is the bathroom,barsam is the story,0.55
Where is the bathroom,where is child labor?,0.5714285714
Where is the bathroom,the bathrom is somewhere,0.4888888889
Where is the pharmacy,pharmacy kadar,0.4571428571
Where is the pharmacy,pharmacy so,0.5
Where is the pharmacy,pharmacy,0.4827586207
Where is the pharmacy,pharmacy qadar,0.4571428571
Where is the pharmacy,pharmacy kadar,0.4
Where is the pharmacy,pharmacy qadar,0.4
Where is the pharmacy,farm,0.24
Where is the pharmacy,farmesi appreciation,0.3414634146
Where is the pharmacy,farmacy appreciation,0.2926829268
Where is the pharmacy,farmacy kadar,0.3529411765
Can you fight,you can argue,0.3846153846
Can you fight,you can argue,0.3846153846
Can you fight,you can argue,0.3846153846
Can you fight,you can argue,0.3846153846
Can you fight,you can argue,0.3846153846
Can you fight,you can argue,0.3846153846
Can you fight,you can fight,0.6923076923
